point,plot,landscape,salinity.exposure,DateTime.PST,date,time.local,DateTimeLocal,Type,source,tide.note,tide.flow,tide.period,depth.cm,water.vial.id,ghg.id,filter.id,filter.volume.ml,salinity.psu,temperature.c,ph,do.mgl,orp.mv,fe2.mgl,hs.mgl,doc.mgl,tdn.mgl,CO2.umolar,CH4.umolar,N2O.umolar,d13ch4.permil,O2.umolar,CO2.stddev.umolar,CH4.stddev.umolar,N2O.stddev.umolar,d13ch4.stddev.permil,Sensor.HydraulicHead.m,Sensor.T.C,Sensor.S.PSU,Sensor.pH,Sensor.Note,Notes,alkalinity.caco3.mgl,tss.mgl,cdom,conductivity.uscm,spc.uscm,do.perc,pressure.mmhg,co2.ppm,ch4.ppm,n2o.ppm,nh3.ppm.for.reference.only,co2.stddev.ppm,ch4.stddev.ppm,n2o.stddev.ppm,nh3.stddev.ppm.for.reference.only,Kh.CO2,Kh.CH4,Kh.N2O,d13ch4.permil.raw,d13ch4.stddev.permil.raw,Filled.salinity.psu,Filled.temperature.c,Filled.ph,Fill.Notes
BC04,mouth,hillslope,medium,1/24/2018 16:30,1/24/2018,4:30:00 PM,1/24/2018 16:30,Porewater,sipper,NA,flood,high tide,30,"3608-18, 3608-27,",NA,3608-210,95,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Duplicate DateTime-ok ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA
BC12,middle,river.bank,low,1/25/2018 9:35,1/25/2018,9:35:00 AM,1/25/2018 9:35,Porewater,sipper,NA,ebb,high tide,60,"3608-26, 3608-29,",NA,3608-214,69,4.6,9,NA,NA,NA,NA,NA,20.255,NA,613.2686739,35.86135341,0.007003903,-39.87,NA,0.140851785,0.236448484,3.39E-05,5.61,NA,NA,NA,NA,, ,NA,NA,NA,NA,NA,NA,NA,13062,682.5,0.14895,NA,3,4.5,0.00072,NA,0.046950595,0.052544108,0.047021841,-39.87,5.61,4.6,9,NA,NA
BC13,middle,floodplain,low,1/25/2018 9:52,1/25/2018,9:52:00 AM,1/25/2018 9:52,Porewater,sipper,NA,ebb,low tide,60,"3608-28, 3608-31,",NA,3608-215,70,4.1,7.3,NA,NA,NA,NA,NA,17.31,NA,1008.76116,5.317489662,0.019290731,NA,NA,11.24997644,0.008790791,0.000921505,NA,NA,NA,NA,NA,,Duplicate DateTime-ok ,NA,NA,NA,NA,NA,NA,NA,19761,99.39,0.3927,NA,220.38,0.16431,0.018759,NA,0.051048083,0.053501254,0.049123328,NA,NA,4.1,7.3,NA,NA
BC13,middle,floodplain,low,1/25/2018 9:52,1/25/2018,9:52:00 AM,1/25/2018 9:52,Porewater,sipper,NA,ebb,low tide,30,"3608-28, 3608-31,",NA,3608-215,70,4.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Duplicate DateTime-ok ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.050241612,0.055451304,0.050707404,NA,NA,4.7,7,NA,NA
BC14,middle,hillslope,low,1/25/2018 10:20,1/25/2018,10:20:00 AM,1/25/2018 10:20,Porewater,sipper,NA,ebb,low tide,60,"3608-30, 3608-21,",NA,3608-216,94,2.5,7.8,NA,NA,NA,NA,NA,12.75,NA,2881.590858,143.8767963,-0.022719648,NA,NA,0.210099165,0.102853102,0.000885108,NA,NA,NA,NA,NA,,Duplicate DateTime-ok ,NA,NA,NA,NA,NA,NA,NA,53490,2937.6,-0.498,NA,3.9,2.1,0.019401,NA,0.053871581,0.048977668,0.045621783,NA,NA,2.5,7.8,NA,NA
BC14,middle,hillslope,low,1/25/2018 10:20,1/25/2018,10:20:00 AM,1/25/2018 10:20,Porewater,sipper,NA,ebb,low tide,30,"3608-30, 3608-21,",NA,3608-216,94,3.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"changed sal to 3.7 from 7.8 5/11/20 Cora based on notebook, Duplicate DateTime-ok ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06104775,0.05885509,0.057035839,NA,NA,3.7,3,NA,NA
BC02,mouth,river.bank,medium,1/25/2018 11:20,1/25/2018,11:20:00 AM,1/25/2018 11:20,Porewater,sipper,NA,ebb,low tide,60,"3608-20, 3608-23,",NA,3608-211,64,6.4,8.8,NA,NA,NA,NA,NA,21.74,NA,1371.762735,85.3845476,-0.000818222,NA,NA,3.622290539,0.172633537,1.51E-06,NA,NA,NA,NA,NA,,Duplicate DateTime-ok ,NA,NA,NA,NA,NA,NA,NA,31470,1483.8,-0.016218,NA,83.1,3,3.00E-05,NA,0.043589537,0.057544512,0.050451483,NA,NA,6.4,8.8,NA,NA
BC02,mouth,river.bank,medium,1/25/2018 11:20,1/25/2018,11:20:00 AM,1/25/2018 11:20,Porewater,sipper,NA,ebb,low tide,30,"3608-20, 3608-23,",NA,3608-211,64,6.5,10,NA,NA,NA,NA,NA,NA,NA,1308.051912,83.46065491,-0.000787729,-53.74,NA,3.454055096,0.168743742,1.46E-06,1.35,NA,NA,NA,NA,,Duplicate DateTime-ok ,NA,NA,NA,NA,NA,NA,NA,31470,1483.8,-0.016218,NA,83.1,3,3.00E-05,NA,0.041565043,0.056247914,0.048571309,-53.74,1.35,6.5,10,NA,NA
BC03,mouth,floodplain,medium,1/25/2018 11:45,1/25/2018,11:45:00 AM,1/25/2018 11:45,Porewater,sipper,NA,ebb,low tide,60,"3608-22, 3608-25,",NA,3608-212,95,9.7,8.1,NA,NA,NA,NA,NA,18.985,NA,1993.112379,4.520654018,-0.015806451,NA,NA,3.659049119,0.00088278,0.001752984,NA,NA,NA,NA,NA,,Duplicate DateTime-ok ,NA,NA,NA,NA,NA,NA,NA,51720,66.06,-0.2724,NA,94.95,0.0129,0.03021,NA,0.038536589,0.068432546,0.058026618,NA,NA,9.7,8.1,NA,NA
BC03,mouth,floodplain,medium,1/25/2018 11:45,1/25/2018,11:45:00 AM,1/25/2018 11:45,Porewater,sipper,NA,ebb,low tide,30,"3608-22, 3608-25,",NA,3608-212,95,6.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Duplicate DateTime-ok ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043239717,0.059487494,0.052068209,NA,NA,6.9,8.4,NA,NA
BC04,mouth,hillslope,medium,1/25/2018 12:10,1/25/2018,12:10:00 PM,1/25/2018 12:10,Porewater,sipper,NA,ebb,low tide,60,"3608-24, 3614-24,",NA,3608-213,97,1.3,8.8,NA,NA,NA,NA,NA,16.4,NA,955.3792244,7.829259029,0.001262251,-27.74,NA,1.408612051,0.135267088,0.001265034,8.47,NA,NA,NA,NA,,Duplicate DateTime-ok ,NA,NA,NA,NA,NA,NA,NA,17403,173.64,0.029934,NA,25.659,3,0.03,NA,0.054897387,0.045089029,0.042167807,-27.74,8.47,1.3,8.8,NA,NA
BC04,mouth,hillslope,medium,1/25/2018 12:10,1/25/2018,12:10:00 PM,1/25/2018 12:10,Porewater,sipper,NA,ebb,low tide,30,"3608-24, 3614-24,",NA,3608-213,97,8.8,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Duplicate DateTime-ok ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039687183,0.065124708,0.055652158,NA,NA,8.8,8.4,NA,NA
BC02,mouth,river.bank,medium,2/6/2018 8:30,2/6/2018,8:30:00 AM,2/6/2018 8:30,Porewater,sipper,NA,ebb,low tide,60,"3614-9, 3614-18,",NA,3614-205,95,7.3,9.6,NA,NA,NA,NA,NA,18.935,NA,742.9282304,97.4090713,0.031641776,-53.74251935,NA,1.219714711,2.513097406,0.004559334,1.349942346,NA,NA,NA,NA,, ,NA,NA,NA,NA,NA,NA,NA,18273,1651.2,0.6246,NA,30,42.6,0.09,NA,0.040657157,0.058992897,0.050659264,-53.74251935,1.349942346,7.3,9.6,NA,NA
BC03,mouth,floodplain,medium,2/6/2018 9:15,2/6/2018,9:15:00 AM,2/6/2018 9:15,Porewater,sipper,NA,ebb,low tide,60,"3614-17, 3614-20,",NA,3614-209,110,10.2,8.8,NA,NA,NA,NA,NA,9.07,NA,2192.495637,7.383070266,-0.017123025,NA,NA,6.607219399,0.007660505,0.000864974,NA,NA,NA,NA,NA,, ,NA,NA,NA,NA,NA,NA,NA,59730,106.98,-0.29694,NA,180,0.111,0.015,NA,0.036706774,0.069013556,0.057664934,NA,NA,10.2,8.8,NA,NA
BC04,mouth,hillslope,medium,2/6/2018 9:45,2/6/2018,9:45:00 AM,2/6/2018 9:45,Porewater,sipper,NA,ebb,low tide,60,"3614-19, 3614-30,",NA,3614-210,78,0.9,8.9,NA,NA,NA,NA,NA,22.68,NA,877.2004484,5.268039505,0.013633386,-55.5,NA,1.244357885,0.004299144,0.00074791,NA,NA,NA,NA,NA,, ,NA,NA,NA,NA,NA,NA,NA,15747,119.4,0.3291,NA,22.338,0.09744,0.018054,NA,0.055705877,0.044120934,0.041426273,-55.5,NA,0.9,8.9,NA,NA
BC12,middle,river.bank,low,2/6/2018 11:30,2/6/2018,11:30:00 AM,2/6/2018 11:30,Porewater,sipper,NA,flood,low tide,60,"3614-29, 3614-28,",NA,3614-215,85,5.6,9.3,NA,NA,NA,NA,NA,11.52,NA,1034.277361,18.71960873,0.007015864,NA,NA,0.501423418,0.164207094,0.001605031,NA,NA,NA,NA,NA,, ,NA,NA,NA,NA,NA,NA,NA,23298,342,0.14556,NA,11.295,3,0.0333,NA,0.044393397,0.054735698,0.04819912,NA,NA,5.6,9.3,NA,NA
BC13,middle,floodplain,low,2/6/2018 12:15,2/6/2018,12:15:00 PM,2/6/2018 12:15,Porewater,sipper,NA,flood,low tide,60,"3614-27, 3614-26,",NA,3614-214,115,4.7,9.1,NA,NA,NA,NA,NA,26.95,NA,1907.143749,17.30214258,-0.0020426,NA,NA,1.578807646,0.108790184,0.001097333,NA,NA,NA,NA,NA,, ,NA,NA,NA,NA,NA,NA,NA,40950,328.5,-0.04344,NA,33.9,2.0655,0.023337,NA,0.046572497,0.052670145,0.047021187,NA,NA,4.7,9.1,NA,NA
BC14,middle,hillslope,low,2/6/2018 12:30,2/6/2018,12:30:00 PM,2/6/2018 12:30,Porewater,sipper,NA,flood,low tide,60,"3614-25, 3618-14,",NA,3614-213,#N/A,1.4,10.5,NA,NA,NA,NA,NA,20.11,NA,939.8601273,134.0182457,0,NA,NA,0.154633124,0.130241249,0,NA,NA,NA,NA,NA,, ,NA,NA,NA,NA,NA,NA,NA,18234,3087,0,NA,3,3,0,NA,0.051544375,0.04341375,0.039795218,NA,NA,1.4,10.5,NA,NA
BC22,freshwater,freshwater.wetland.edge,none,2/6/2018 8:30,2/6/2018,8:30:00 AM,2/6/2018 8:30,Porewater,sipper,NA,ebb,low tide,60,"3614-23, 3614-10,",NA,3614-212,63,0,9.6,NA,NA,NA,NA,NA,15.23,NA,2460.725482,6.105575489,-0.112387835,NA,NA,0.169939605,0.124501947,0.103258817,NA,NA,NA,NA,NA,Salinity filled as 0,"Originally missing time, but according to sample sheet, 3614-10 was taken at 8:30 am ",NA,NA,NA,80,NA,NA,NA,43440,147.12,-2.8734,NA,3,3,2.64,NA,0.056646535,0.041500649,0.039113188,NA,NA,0,9.6,NA,NA
BC22,freshwater,freshwater.wetland.edge,none,3/23/2018 8:30,3/23/2018,9:30:00 AM,3/23/2018 9:30,Porewater,sipper,NA,ebb,low tide,60,"3618-13, 3618-2,",NA,3618-207,300,0,NA,NA,NA,NA,NA,NA,4.7115,NA,216.7844591,1.61731546,0.027742575,NA,NA,0.289761406,0.005496659,0.000744884,NA,NA,5.665,NA,NA,"temp from BC11 Exo 3/24/2018 8:30, Salinity filled as 0", ,NA,NA,0.035,60,NA,NA,NA,3333,35.07,0.6114,NA,4.455,0.11919,0.016416,NA,0.065041842,0.04611678,0.04537549,-105.9,NA,0,5.665,NA,sensor-filled T
BC02,mouth,river.bank,medium,3/23/2018 14:07,3/23/2018,3:07:00 PM,3/23/2018 15:07,Porewater,sipper,NA,flood,low tide,60,"3618-1, 3618-4,",NA,3618-201,70,7.6,10,NA,NA,NA,NA,NA,18.415,NA,1182.94698,15.79415533,0.014025396,-55.5,NA,2.727870517,0.087201534,0.000894013,NA,NA,NA,NA,NA,, ,NA,NA,0.216,NA,NA,NA,NA,29922,266.25,0.27768,NA,69,1.47,0.0177,NA,0.039534355,0.059320771,0.050509204,-55.5,NA,7.6,10,NA,NA
BC03,mouth,floodplain,medium,3/23/2018 14:35,3/23/2018,3:35:00 PM,3/23/2018 15:35,Porewater,sipper,NA,flood,high tide,60,"3618-3, 3618-6,",NA,3618-202,80,13.4,9.3,NA,NA,NA,NA,NA,13.6,NA,1269.698607,4.495432684,0.019714841,NA,NA,18.65278881,0.016003931,0.00099679,NA,NA,NA,NA,NA,, ,NA,NA,0.139,NA,NA,NA,NA,40740,56.46,0.3105,NA,598.5,0.201,0.015699,NA,0.031165896,0.079621549,0.06349385,NA,NA,13.4,9.3,NA,NA
BC04,mouth,hillslope,medium,3/23/2018 15:00,3/23/2018,4:00:00 PM,3/23/2018 16:00,Porewater,sipper,NA,flood,high tide,60,"3618-5, 3618-8,",NA,3618-203,80,1.7,NA,NA,NA,NA,NA,NA,7.885,NA,1245.209941,5.774045556,0.009444992,-35.2,NA,2.443052948,0.002178371,0.000687367,NA,NA,9.3,NA,NA,temp from BC03 at 14:35 on 3/23, ,NA,NA,0.024,NA,NA,NA,NA,23502,127.23,0.22491,NA,46.11,0.048,0.016368,NA,0.052983148,0.045382736,0.04199454,-35.2,NA,1.7,9.3,NA,sensor-filled T
BC12,middle,river.bank,low,3/23/2018 16:15,3/23/2018,5:15:00 PM,3/23/2018 17:15,Porewater,sipper,NA,flood,high tide,60,"3618-7, 3618-10,",NA,3618-204,45,4.9,9.7,NA,NA,NA,NA,NA,13.99,NA,517.6408361,6.583853231,0.054791737,-43.8,NA,7.479293358,0.173010954,0.000849766,NA,NA,NA,NA,NA,, ,NA,NA,0.103,NA,NA,NA,NA,11457,125.58,1.1817,NA,165.54,3.3,0.018327,NA,0.045181185,0.052427562,0.046366876,-43.8,NA,4.9,9.7,NA,NA
BC13,middle,floodplain,low,3/23/2018 16:30,3/23/2018,5:30:00 PM,3/23/2018 17:30,Porewater,sipper,NA,flood,high tide,60,"3618-9, 3618-12,",NA,3618-205,80,7,7.6,NA,NA,NA,NA,NA,18.45,NA,2049.317279,33.36477422,-0.000589619,-62.22,NA,3.056022783,0.027408084,0.000597358,NA,NA,NA,NA,NA,, ,NA,NA,0.217,NA,NA,NA,NA,46230,547.8,-0.010971,NA,68.94,0.45,0.011115,NA,0.044328732,0.060906853,0.053743409,-62.22,NA,7,7.6,NA,NA
BC14,middle,hillslope,low,3/23/2018 16:50,3/23/2018,5:50:00 PM,3/23/2018 17:50,Porewater,sipper,NA,flood,high tide,60,"3618-11, 3618-36,",NA,3618-206,40,1.1,7.8,NA,NA,NA,NA,NA,0.5425,NA,2566.248462,267.0276706,-0.046509086,-67.5,NA,37.33194443,1.650016502,0.042650709,NA,NA,NA,NA,NA,, ,NA,NA,0.109,NA,NA,NA,NA,44730,5826,-1.0704,NA,650.7,36,0.9816,NA,0.057371975,0.045833792,0.043450192,-67.5,NA,1.1,7.8,NA,NA
BC13,middle,floodplain,low,4/16/2018 11:49,4/16/2018,12:49:00 PM,4/16/2018 12:49,Porewater,sipper,NA,flood,high tide,60,3618-35,NA,NA,NA,4.3,10.2,NA,NA,NA,NA,NA,33.025,NA,1549.420584,55.29656171,0.003661024,-68.37,NA,2.009319273,0.00151001,0.000665434,0.85,NA,NA,NA,NA,, ,NA,NA,0.353,NA,NA,NA,NA,33960,1098.6,0.08208,NA,44.04,0.03,0.014919,NA,0.04562487,0.050333663,0.044603122,-68.37,0.85,4.3,10.2,NA,NA
BC12,middle,river.bank,low,4/16/2018 12:30,4/16/2018,1:30:00 PM,4/16/2018 13:30,Porewater,sipper,NA,flood,high tide,60,3618-33,NA,NA,NA,1.8,11.1,NA,NA,NA,NA,NA,28.505,NA,238.3879364,2.387155475,0.019768193,-63.12,NA,0.360135884,0.000630816,0.000138757,5.77,NA,NA,NA,NA,, ,NA,NA,0.244,NA,NA,NA,NA,4807,54.72,0.5002,NA,7.262,0.01446,0.003511,NA,0.049591832,0.043624917,0.039520578,-63.12,5.77,1.8,11.1,NA,NA
BC14,middle,hillslope,low,4/16/2018 13:30,4/16/2018,2:30:00 PM,4/16/2018 14:30,Porewater,sipper,NA,ebb,high tide,60,3618-31,NA,NA,NA,2.1,9.5,NA,NA,NA,NA,NA,12.085,NA,2553.040395,166.5490382,-0.003667498,-56.86,NA,0.086775471,1.695872462,0.011417323,0.29,NA,NA,NA,NA,, ,NA,NA,0.106,NA,NA,NA,NA,49410,3618,-0.08673,NA,1.6794,36.84,0.27,NA,0.05167052,0.046033454,0.04228638,-56.86,0.29,2.1,9.5,NA,NA
BC13,middle,floodplain,low,4/17/2018 7:45,4/17/2018,8:45:00 AM,4/17/2018 8:45,Porewater,sipper,NA,flood,low tide,60,3618-37,NA,NA,NA,4.6,9.7,NA,NA,NA,NA,NA,28.995,NA,1478.474429,34.16721601,0.00357834,-60.71,NA,2.818170125,0.155023666,0.000856049,0.456,NA,NA,NA,NA,,Duplicate DateTime-ok ,NA,NA,0.353,NA,NA,NA,NA,32280,661.2,0.078,NA,61.53,3,0.01866,NA,0.045801562,0.051674555,0.045876151,-60.71,0.456,4.6,9.7,NA,NA
BC13,middle,floodplain,low,4/17/2018 7:45,4/17/2018,8:45:00 AM,4/17/2018 8:45,Porewater,sipper,NA,flood,low tide,30,NA,NA,NA,NA,3,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Duplicate DateTime-ok ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049949518,0.048307809,0.043968493,NA,NA,3,9.3,NA,NA
BC12,middle,river.bank,low,4/17/2018 8:47,4/17/2018,9:47:00 AM,4/17/2018 9:47,Porewater,sipper,NA,flood,low tide,60,3618-39,NA,NA,NA,4.5,9.4,NA,NA,NA,NA,NA,14.33,NA,253.0043449,0.751532069,0.011383302,NA,NA,0.098997657,0.002071763,0.000289433,NA,NA,NA,NA,NA,, ,NA,NA,0.105,NA,NA,NA,NA,5441,14.51,0.2464,NA,2.129,0.04,0.006265,NA,0.046499604,0.051794078,0.046198468,-103.69,9.38,4.5,9.4,NA,NA
BC14,middle,hillslope,low,4/17/2018 9:30,4/17/2018,10:30:00 AM,4/17/2018 10:30,Porewater,sipper,NA,flood,low tide,60,3618-41,NA,NA,NA,2.4,9.2,NA,NA,NA,NA,NA,16.76,NA,2408.972439,152.5892586,-0.005163445,-54.52,NA,5.440661936,0.149766146,0.00010148,0.33,2.661,8.71,1.143186046,NA,,Duplicate DateTime-ok ,NA,NA,0.166,NA,NA,NA,NA,46770,3243,-0.11952,NA,105.63,3.183,0.002349,NA,0.051506787,0.047051884,0.043201516,-54.52,0.33,2.4,9.2,NA,NA
BC14,middle,hillslope,low,4/17/2018 9:30,4/17/2018,10:30:00 AM,4/17/2018 10:30,Porewater,sipper,NA,flood,low tide,30,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.661,8.71,1.143186046,NA,Sample and sensor at different depths,Duplicate DateTime-ok ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053596384,0.046507647,0.043208612,NA,NA,1.9,8.71,NA,sensor-filled T
BC04,mouth,hillslope,medium,4/17/2018 13:00,4/17/2018,2:00:00 PM,4/17/2018 14:00,Porewater,sipper,NA,flood,high tide,60,3618-45,NA,NA,NA,0.2,9.5,NA,NA,NA,NA,NA,19.235,NA,778.9912187,0.306632164,0.020851148,NA,NA,0.256171516,0.000904269,0.000566587,NA,NA,NA,NA,NA,, ,NA,NA,0.211,NA,NA,NA,NA,13830,7.299,0.5274,NA,4.548,0.021525,0.014331,NA,0.056326191,0.042010161,0.039535738,NA,NA,0.2,9.5,NA,NA
